Name,ID,Version,License,Repo,Organisation
Meade EDX to Ioptron Smart EX Go2nova mount,Q781512,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:318861,
Minimal Suface in Minkowski Space,Q47958,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:9418,
EF Mount Module,Q50568,1.0.0,https://spdx.org/licenses/GPL-3.0-or-later,https://www.thingiverse.com/thing:10829,
Nexus S phone holder,Q265301,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:109884,
Universal Microscope Phone Adapter,Q203283,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:59344,
Can YOU Survive: Mars,Q820523,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:362087,
Mounting Ring for Orion Dovetail Accessories (Triple),Q871230,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:429384,
Low Profile EF Ring and Focusing Rack,Q266222,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:110865,
