Name,ID,Version,License,Repo,Organisation
Hexagonal lattice,Q50076,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:10566,
Lattice Case,Q801775,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:341826,
Lattice Bre,Q89491,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:23574,
Penrose Lattice Basket,Q253829,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:97889,
Simple cubic lattice,Q823862,1.0.0,https://spdx.org/licenses/CC0-1.0,https://www.thingiverse.com/thing:366536,
Headboard/bookshelf/lattice,Q41469,1.0.0,https://spdx.org/licenses/CC0-1.0,https://www.thingiverse.com/thing:5560,
Diamond Lattice Model,Q55650,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:13601,
Parametric Woven Lattice,Q391822,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:221265,
Structure to Surface Lattice,Q852830,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:405975,
Hexagonal lattice 2,Q50310,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:10693,
