Name,ID,Version,License,Repo,Organisation
Water Turbine,Q259508,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:103747,
Air/Water Turbine,Q319786,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:167580,
Customizable water turbine,Q203367,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:59445,
Small water turbine,Q87201,43323,https://spdx.org/licenses/CERN-OHL-1.2,https://en.oho.wiki/wiki/Small_water_turbine,
Water Wheel Type Turbine,Q268523,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:113079,
Bird Feeder - sweet water for nectar eaters and hummingbirds,Q468517,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:260695,
Turbine,Q401275,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:230969,
turbine,Q151869,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:41760,
Mini Hydroelectric Turbine,Q289712,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:137020,
"Elbow fitting for water over 1/8"" glass edge for 5/8"" OD tubing",Q790941,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:329725,
