Name,ID,Version,License,Repo,Organisation
hot water cover,Q830535,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:375409,
Water-cooled hot end,Q95224,1.0.0,https://spdx.org/licenses/GPL-3.0-or-later,https://www.thingiverse.com/thing:26862,
Bird Feeder - sweet water for nectar eaters and hummingbirds,Q468517,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:260695,
Automatic watering pots,Q761749,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:299732,
Collector's Thimble,Q34512,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:611,
Rainbow for WaterColorBot,Q342583,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:188794,
Portugese Water Dot Lithophane,Q272207,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:116668,
Heart for WaterColorBot,Q387826,1.0.0,https://spdx.org/licenses/CC0-1.0,https://www.thingiverse.com/thing:217190,
Swiss coin collector,Q871836,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:430226,
Lids Cap Collector,Q800494,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:340493,
